route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
298-221,Weekend-2,1261-29802-57000-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekday-3,1261-29802-57000-2-92eeb648,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
298-221,Weekday-4,1261-29802-57000-2-9811ddd1,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekend-3,1261-29802-57000-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
783-221,Weekend-1,1274-78302-41400-2-f17c763f,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
783-221,Weekday-1,1274-78302-45000-2-7585d97a,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
783-221,Weekend-1,1274-78302-45000-2-f17c763f,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
783-221,Weekday-1,1274-78302-48600-2-7585d97a,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
783-221,Weekend-1,1274-78302-48600-2-f17c763f,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
298-221,Weekday-3,1261-29802-58200-2-92eeb648,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
298-221,Weekday-4,1261-29802-58200-2-9811ddd1,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekday-3,1261-29802-59400-2-922cd9ef,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
298-221,Weekday-4,1261-29802-59400-2-e0b3e8a1,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
783-221,Weekday-1,1274-78302-52200-2-7585d97a,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
783-221,Weekend-1,1274-78302-52200-2-f17c763f,Eastern Bays Circuit Anticlockwise,,1,,1274-78302-67bc5891,0,0
